Title,Press,Image URL
"비트코인에 도대체 무슨일이?…  한 달 만에 25% 급락, 이유 분석해보니",디지털데일리,https://mimgnews.pstatic.net/image/origin/138/2025/11/17/2209834.jpg
"흥국생명, 지방 사옥 11곳 매각한다…M&A 실탄 확보 차원 [시그널]",서울경제,https://mimgnews.pstatic.net/image/origin/011/2025/11/17/4556861.jpg
미국에 첫 K산업단지…韓기업 적극 지원할 것,매일경제,https://mimgnews.pstatic.net/image/origin/009/2025/11/17/5591484.jpg
"‘코인 개미’ 어쩌나, 한 달 만에 올해 상승분 날린 비트코인",중앙일보,https://mimgnews.pstatic.net/image/origin/025/2025/11/17/3483242.jpg
"""반도체 호황, 내년에도 이어질 것""",한국경제,https://mimgnews.pstatic.net/image/origin/015/2025/11/17/5212462.jpg
"‘거래정지 됐다, 풀렸다’ 해프닝에…주가 급락한 엔켐·케이지에이",조선비즈,https://mimgnews.pstatic.net/image/origin/366/2025/11/17/1123668.jpg
"반도체 선방, 코스피 2% 반등… 삼성전자 3.5%· SK하이닉스 8.2%↑",디지털데일리,https://mimgnews.pstatic.net/image/origin/138/2025/11/17/2209830.jpg
"에이비엘, 추가 빅딜 예고…K바이오 플랫폼 대세로",한국경제TV,https://mimgnews.pstatic.net/image/origin/215/2025/11/17/1231228.jpg
"""고급 아파트 주민끼리 사돈 맺자""…그들만의 리그 논란",SBS Biz,https://mimgnews.pstatic.net/image/origin/374/2025/11/17/475334.jpg
'빚투'도 레버리지?…잇단 실언 논란에 금융위 해명 '진땀',블로터,https://mimgnews.pstatic.net/image/origin/293/2025/11/17/75166.jpg
[마켓인]벤처펀드 3분기 반등했지만…대형사로 쏠린 자금,이데일리,https://mimgnews.pstatic.net/image/origin/018/2025/11/17/6166225.jpg
"10·15대책 한 달, 서울 집값 진정… 고가 아파트만 고공행진",머니S,https://mimgnews.pstatic.net/image/origin/417/2025/11/17/1113741.jpg
"""온갖 행정 지원 했는데... SK오션플랜트 지분 매각 중단해야""",오마이뉴스,https://mimgnews.pstatic.net/image/origin/047/2025/11/17/2495269.jpg
AI 버블 우려 딛고 투심 살아난 반도체株…10만전자·60만닉스 버텼다 [종목Pick],헤럴드경제,https://mimgnews.pstatic.net/image/origin/016/2025/11/17/2558925.jpg
그린광학 '따블'이었는데…신영證 MTS 장애로 투자자 '발동동',머니투데이,https://mimgnews.pstatic.net/image/origin/008/2025/11/17/5279354.jpg
"덕산하이메탈 ""AI서버·車전장 소재 공략해 위기 돌파""",한국경제,https://mimgnews.pstatic.net/image/origin/015/2025/11/17/5212431.jpg
"매도인 개인정보 빼낸 뒤 ""분양권 급하게 처분""…명의도용 사기 기승[집슐랭]",서울경제,https://mimgnews.pstatic.net/image/origin/011/2025/11/17/4556854.jpg
"양상추, 한달 만에 50% '껑충'…美서 비행기로 실어 나르기도",한국경제,https://mimgnews.pstatic.net/image/origin/015/2025/11/17/5212429.jpg
